tb5id,uid,sid,topID,subtopID,conID,passID,passOrder,c1Ans,c2Ans,c3Ans,c4Ans,passRT
1756,356,AIJEWX92UW722,1,101,2,101204,4,72,27,15,,34
1757,356,AIJEWX92UW722,1,103,3,103301,1,75,46,56,,47
1758,356,AIJEWX92UW722,1,103,3,103302,2,69,16,10,,23
1759,356,AIJEWX92UW722,1,103,3,103303,3,79,4,0,,20
1760,356,AIJEWX92UW722,1,102,1,102101,1,74,55,44,,34
1761,356,AIJEWX92UW722,1,102,1,102102,2,66,55,61,,45
1762,356,AIJEWX92UW722,1,102,1,102103,3,77,59,62,,57
1763,356,AIJEWX92UW722,1,102,1,102104,4,77,36,31,,48
1764,356,AIJEWX92UW722,1,102,1,102105,5,48,74,80,,41
1765,356,AIJEWX92UW722,1,102,1,102106,6,78,68,78,,45
1766,359,A6LGUTYKU314W,1,101,2,101201,1,54,100,51,,32
1767,359,A6LGUTYKU314W,1,101,2,101202,2,52,51,29,,27
1768,359,A6LGUTYKU314W,1,101,2,101203,3,51,31,25,,28
1769,359,A6LGUTYKU314W,1,101,2,101204,4,53,23,23,,34
1770,359,A6LGUTYKU314W,1,101,2,101205,5,52,20,19,,20
1771,359,A6LGUTYKU314W,1,102,1,102101,1,51,91,51,,24
1772,360,A25BDZJ7E8I0PG,1,102,3,102301,1,100,100,100,,0
1773,360,A25BDZJ7E8I0PG,1,102,3,102302,2,100,6,5,,0
1774,359,A6LGUTYKU314W,1,102,1,102102,2,51,94,51,,31
1775,359,A6LGUTYKU314W,1,102,1,102103,3,51,85,31,,19
1776,359,A6LGUTYKU314W,1,102,1,102104,4,51,80,26,,24
1777,359,A6LGUTYKU314W,1,102,1,102105,5,51,86,30,,19
1778,360,A25BDZJ7E8I0PG,1,101,2,101201,1,100,100,100,,0
1779,359,A6LGUTYKU314W,1,102,1,102106,6,51,87,37,,20
1780,359,A6LGUTYKU314W,1,103,3,103301,1,55,97,49,,18
1781,360,A25BDZJ7E8I0PG,1,101,2,101202,2,100,74,82,,0
1782,359,A6LGUTYKU314W,1,103,3,103302,2,54,92,51,,19
1783,360,A25BDZJ7E8I0PG,1,101,2,101203,3,100,65,71,,0
1784,359,A6LGUTYKU314W,1,103,3,103303,3,51,92,43,,19
1785,359,A6LGUTYKU314W,1,103,3,103304,4,52,76,30,,25
1786,359,A6LGUTYKU314W,1,103,3,103305,5,51,4,2,,17
